,citing author name,citing paper title,cited paper title,affiliation,latitude,longitude,county,city,state,country
0,VANESSA DE ALMEIDA GUIMARÃES,Evaluating the sustainability of urban passenger transportation by Monte Carlo simulation,Sustainability assessment of a transportation system under uncertainty: an integrated multicriteria approach,CEFET/RJ,-22.2459542,-42.52328664241848,,,Rio de Janeiro,Brazil
1,Henrik Ny,Context-adapted urban planning for rapid transitioning of personal mobility towards sustainability: A systematic literature review,Sustainability assessment of a transportation system under uncertainty: an integrated multicriteria approach,Blekinge tekniska högskola,56.182010149999996,15.591007904064151,Blekinge County,Karlskrona,,Sweden
2,Santosh Kumar Birthriya,A comprehensive survey of phishing email detection and protection techniques,A Description Logic Ontology for Email Phishing,National Institute of Technology Kurukshetra,29.9457523,76.81602868615613,Thanesar,,Haryana,India
3,Ankit Kumar Jain,A comprehensive survey of phishing email detection and protection techniques,A Description Logic Ontology for Email Phishing,National Institute of Technology,10.76338535,78.81502919117466,Thiruverumbur,,Tamil Nadu,India
4,"Justin Moskolaï Ngossaha, PhD","Social Big Data for Improving Urban Mobility Services: The Case of Douala, Cameroon",Methodological Framework for Defining the Sustainability Management Process for Urban Mobility Systems Based on System Engineering,Faculty of Science,36.71533125,-4.472711280293506,Málaga-Costa del Sol,Málaga,Andalusia,Spain
5,Paulo Alonso Gaona-Garcia,Design and application of an ontology to identify crop areas and improve land use,A Description Logic Ontology for Email Phishing,"""Universidad Distrital Francisco José de Caldas""",4.61427645,-74.06328049734677,,Bogota,,Colombia
6,Redouan DAAFI,"La mobilité urbaine durable au Maroc, perspectives et enjeux: Cas du pôle urbain Hay Riad-Ville de Rabat",Contribution à la conception d'un système de mobilité urbaine durable: de l'élicitation des connaissances à l'architecture distribuée du système,Hassan II University of Casablanca,33.5419806,-7.659621460073563,Pachalik de Casablanca,Casablanca,,Morocco
7,"Justin Moskolaï Ngossaha, PhD",Methodological Framework for Defining the Sustainability Management Process for Urban Mobility Systems Based on System Engineering,Ontology based approach for complexity management in the design of a sustainable urban mobility system,Faculty of Science,36.71533125,-4.472711280293506,Málaga-Costa del Sol,Málaga,Andalusia,Spain
8,Apollinaire Bamana BATOURE,Towards a Flexible Urbanization Based Approach for Integration and Interoperability in Heterogeneous Health Information Systems: Case of Cameroon,Cyber-Physical Urban Mobility Systems: Opportunities and Challenges in Developing Countries,Département de Génie Informatique,33.7953339,2.8457456,Laghouat District,Laghouat,Laghouat,Algeria
9,Matthew Lange, Preprint Version Ontologies for Sustainability: Theoretical Challenges,Ontology based approach for complexity management in the design of a sustainable urban mobility system,Semantics),12.97339985,77.6463978987444,Bangalore East,,Karnataka,India
